record type,booking id,service type,block number,route,logon block id,start time,end time,start place,end place,garage,block name,preferred bus series 1
10,1,1,1,188,1,1560,89880,SMF,SMF,SMF,1,Bus
10,1,1,2,12,2,1680,70740,SMF,SMF,SMF,2,Bus
10,1,1,3,79,3,2580,98640,SMF,SMF,SMF,3,Bus
10,1,1,4,87,4,4200,89760,SMF,SMF,SMF,4,Bus
10,1,1,5,40,5,4320,92940,IBMF,IBMF,IBMF,5,Bus
10,1,1,6,104,6,5100,79140,IBMF,IBMF,IBMF,6,Bus
10,1,1,7,188,7,5160,92160,SMF,SMF,SMF,7,Bus
10,1,1,8,12,8,5280,86700,SMF,SMF,SMF,8,Bus
10,1,1,9,80,9,5280,95760,SMF,SMF,SMF,9,Bus
10,1,1,10,182,10,5400,82320,IBMF,IBMF,IBMF,10,Bus
10,1,1,11,87,11,6000,91980,SMF,SMF,SMF,11,Bus
10,1,1,12,79,12,6180,66780,SMF,SMF,SMF,12,Bus
10,1,1,13,124,13,6240,92580,IBMF,IBMF,IBMF,13,Bus
10,1,1,14,123,14,6600,86880,IBMF,IBMF,IBMF,14,Bus
10,1,1,15,34,15,7020,85140,SMF,SMF,SMF,15,Bus
10,1,1,16,40,16,7920,87540,IBMF,IBMF,IBMF,16,Bus
10,1,1,17,47,17,8220,83700,IBMF,IBMF,IBMF,17,Bus
10,1,1,18,104,18,8700,76740,IBMF,IBMF,IBMF,18,Bus
10,1,1,19,12,19,8700,83880,SMF,SMF,SMF,19,Bus
10,1,1,20,182,20,8820,92280,IBMF,IBMF,IBMF,20,Bus
10,1,1,21,34,21,8820,87540,SMF,SMF,SMF,21,Bus
10,1,1,22,80,22,8880,84840,SMF,SMF,SMF,22,Bus
10,1,1,23,54,23,9060,93480,IBMF,IBMF,IBMF,23,Bus
10,1,1,24,173,24,9060,67020,SMF,SMF,SMF,24,Bus
10,1,1,25,87,25,9600,69300,SMF,SMF,SMF,25,Bus
10,1,1,26,174,26,9720,89340,SMF,SMF,SMF,26,Bus
10,1,1,27,79,27,9780,90360,SMF,SMF,SMF,27,Bus
10,1,1,28,47,28,10020,83460,IBMF,IBMF,IBMF,28,Bus
10,1,1,29,173,29,10260,72780,SMF,SMF,SMF,29,Bus
10,1,1,30,34,30,10620,73020,SMF,SMF,SMF,30,Bus
10,1,1,31,174,31,11340,96060,IBMF,IBMF,IBMF,31,Bus
10,1,1,32,173,32,11460,69540,SMF,SMF,SMF,32,Bus
10,1,1,33,54,33,12120,96960,SMF,SMF,SMF,33,Bus
10,1,1,34,12,34,12300,93600,SMF,SMF,SMF,34,Bus
10,1,1,35,174,35,12540,78960,IBMF,IBMF,IBMF,35,Bus
10,1,1,36,173,36,12660,91800,SMF,SMF,SMF,36,Bus
10,1,1,37,94,37,12720,88200,IBMF,IBMF,IBMF,37,Bus
10,1,1,38,79,38,13020,87240,IBMF,IBMF,IBMF,38,Bus
10,1,1,39,89,39,13200,81300,SMF,SMF,SMF,39,Bus
10,1,1,40,71,40,14160,81360,SMF,SMF,SMF,40,Bus
10,1,1,41,234,41,14520,72240,IBMF,IBMF,IBMF,41,Bus
10,1,1,42,198,42,14520,93300,IBMF,IBMF,IBMF,42,Bus
10,1,1,43,66,43,14520,95040,SMF,SMF,SMF,43,Bus
10,1,1,44,40,44,14580,86880,IBMF,IBMF,IBMF,44,Bus
10,1,1,45,134,45,14700,84360,SMF,SMF,SMF,45,Bus
10,1,1,46,179,46,14760,67320,SMF,SMF,SMF,46,Bus
10,1,1,47,94,47,14880,91560,SMF,SMF,SMF,47,Bus
10,1,1,48,105,48,15000,99660,IBMF,IBMF,IBMF,48,Bus
10,1,1,49,57,49,15060,91140,SMF,SMF,SMF,49,Bus
10,1,1,50,228,50,15240,88440,SMF,SMF,SMF,50,Bus
10,1,1,51,17,51,15240,99360,SMF,SMF,SMF,51,Bus
