record type,booking id,service type,division name,run id,run pieces,run name,block number,piece number,start place,end place,sign on time of piece,start time of piece,end time of piece,clear time of piece,special trip option id,op days
50,1,1,SUN FX,10001,2,10001,,,,,,,,,,
51,1,1,SUN FX,10001,,,10033,1,SMF,SN2245,202,202,544,544,,
51,1,1,SUN FX,10001,,,10193,2,SMF,SN6671,681,681,894,894,,
50,1,1,SIMM FX,10002,2,10002,,,,,,,,,,
51,1,1,SIMM FX,10002,,,10041,1,IBMF,SN3970,242,242,621,621,,
51,1,1,SIMM FX,10002,,,10001,2,SN6480,SN6480,770,780,950,950,,
50,1,1,SUN FX,10003,1,10003,,,,,,,,,,
51,1,1,SUN FX,10003,,,10050,1,SMF,SN7063,254,254,813,813,,
50,1,1,SIMM FX,10004,2,10004,,,,,,,,,,
51,1,1,SIMM FX,10004,,,10056,1,IBMF,SN6970,262,262,411,411,,
51,1,1,SIMM FX,10004,,,10180,2,IBMF,SN1618,582,582,924,924,,
50,1,1,SIMM FX,10005,1,10005,,,,,,,,,,
51,1,1,SIMM FX,10005,,,10065,1,IBMF,SN1618,268,268,832,832,,
50,1,1,SUN FX,10006,1,10006,,,,,,,,,,
51,1,1,SUN FX,10006,,,10077,1,SMF,SN2245,280,280,916,916,,
50,1,1,SIMM FX,10007,1,10007,,,,,,,,,,
51,1,1,SIMM FX,10007,,,10113,1,IBMF,SN6542,322,322,911,911,,
50,1,1,SUN FX,10008,2,10008,,,,,,,,,,
51,1,1,SUN FX,10008,,,10149,1,SMF,SN5943,380,380,600,600,,
51,1,1,SUN FX,10008,,,10029,2,SN6042,SMF,783,793,1213,1213,,
50,1,1,SUN FX,10009,2,10009,,,,,,,,,,
51,1,1,SUN FX,10009,,,10168,1,SMF,SN7031,482,482,933,933,,
51,1,1,SUN FX,10009,,,10177,2,SN6040,SMF,1102,1103,1271,1271,,
50,1,1,SUN FX,10010,1,10010,,,,,,,,,,
51,1,1,SUN FX,10010,,,10033,1,SN2245,SN7074,544,546,1172,1172,,
50,1,1,SIMM FX,10011,2,10011,,,,,,,,,,
51,1,1,SIMM FX,10011,,,10020,1,SN6776,SN677,799,801,900,900,,
51,1,1,SIMM FX,10011,,,10187,2,SN677,IBMF,947,956,1448,1448,,
50,1,1,SIMM FX,10012,1,10012,,,,,,,,,,
51,1,1,SIMM FX,10012,,,10065,1,SN1618,IBMF,832,835,1498,1498,,
50,1,1,SUN FX,10013,1,10013,,,,,,,,,,
51,1,1,SUN FX,10013,,,10043,1,SN3217,SMF,904,906,1584,1584,,
50,1,1,SIMM FX,10014,1,10014,,,,,,,,,,
51,1,1,SIMM FX,10014,,,10180,1,SN1618,IBMF,924,925,1512,1512,,
50,1,1,SIMM FX,10015,1,10015,,,,,,,,,,
51,1,1,SIMM FX,10015,,,10098,1,SN677,IBMF,1026,1026,1592,1592,,
50,1,1,SIMM FX,10016,1,10016,,,,,,,,,,
51,1,1,SIMM FX,10016,,,10063,1,SN6222,IBMF,1056,1058,1644,1644,,
50,1,1,SUN FX,10017,1,10017,,,,,,,,,,
51,1,1,SUN FX,10017,,,10059,1,SMF,SN6896,264,264,936,936,,
50,1,1,SIMM FX,10018,1,10018,,,,,,,,,,
51,1,1,SIMM FX,10018,,,10157,1,IBMF,SN3970,406,406,1073,1073,,
50,1,1,SIMM FX,10019,1,10019,,,,,,,,,,
51,1,1,SIMM FX,10019,,,10041,1,SN3970,IBMF,621,632,1204,1204,,
50,1,1,SUN FX,10020,1,10020,,,,,,,,,,
51,1,1,SUN FX,10020,,,10087,1,SN2245,SMF,856,858,1491,1491,,
50,1,1,SUN FX,10021,1,10021,,,,,,,,,,
51,1,1,SUN FX,10021,,,10193,1,SN6671,SMF,894,906,1551,1551,,
50,1,1,SUN FX,10022,2,10022,,,,,,,,,,
51,1,1,SUN FX,10022,,,10049,1,SMF,SN6220,251,251,451,451,,
51,1,1,SUN FX,10022,,,10182,2,SMF,SN7103,584,584,951,951,,
50,1,1,SUN FX,10023,2,10023,,,,,,,,,,
51,1,1,SUN FX,10023,,,10060,1,SMF,SN6551,265,265,554,554,,
51,1,1,SUN FX,10023,,,10191,2,SMF,SN5731,673,673,950,950,,
50,1,1,SUN FX,10024,2,10024,,,,,,,,,,
51,1,1,SUN FX,10024,,,10079,1,SMF,SN6544,282,282,455,455,,
51,1,1,SUN FX,10024,,,10179,2,SMF,SMF,571,571,1052,1052,,
50,1,1,SIMM FX,10025,1,10025,,,,,,,,,,
51,1,1,SIMM FX,10025,,,10081,1,IBMF,SN7103,287,287,923,923,,
50,1,1,SUN FX,10026,2,10026,,,,,,,,,,
51,1,1,SUN FX,10026,,,10099,1,SMF,SN7103,305,305,624,624,,
51,1,1,SUN FX,10026,,,10199,2,SMF,SMF,738,738,1002,1002,,
50,1,1,SUN FX,10027,1,10027,,,,,,,,,,
51,1,1,SUN FX,10027,,,10107,1,SMF,SN7103,314,314,979,979,,
50,1,1,SUN FX,10028,1,10028,,,,,,,,,,
51,1,1,SUN FX,10028,,,10119,1,SMF,SN5943,335,335,928,928,,
50,1,1,SIMM FX,10029,1,10029,,,,,,,,,,
51,1,1,SIMM FX,10029,,,10153,1,IBMF,SN6039,396,396,1047,1047,,
50,1,1,SUN FX,10030,1,10030,,,,,,,,,,
51,1,1,SUN FX,10030,,,10099,1,SN7103,SMF,624,634,1138,1138,,
50,1,1,SUN FX,10031,2,10031,,,,,,,,,,
51,1,1,SUN FX,10031,,,10197,1,SMF,SN7103,717,717,895,895,,
51,1,1,SUN FX,10031,,,10107,2,SN7103,SMF,979,991,1344,1344,,
50,1,1,SUN FX,10032,1,10032,,,,,,,,,,
51,1,1,SUN FX,10032,,,10102,1,SN5943,SMF,823,838,1422,1422,,
50,1,1,SUN FX,10033,1,10033,,,,,,,,,,
51,1,1,SUN FX,10033,,,10197,1,SN7103,SMF,895,907,1393,1393,,
50,1,1,SIMM FX,10034,1,10034,,,,,,,,,,
51,1,1,SIMM FX,10034,,,10081,1,SN7103,IBMF,923,935,1508,1508,,
50,1,1,SUN FX,10035,1,10035,,,,,,,,,,
51,1,1,SUN FX,10035,,,10059,1,SN6896,SMF,936,948,1522,1522,,
50,1,1,SUN FX,10036,1,10036,,,,,,,,,,
51,1,1,SUN FX,10036,,,10182,1,SN7103,SMF,951,963,1478,1478,,
50,1,1,SUN FX,10037,1,10037,,,,,,,,,,
51,1,1,SUN FX,10037,,,10008,1,SMF,SN6038,88,88,732,732,,
50,1,1,SIMM FX,10038,1,10038,,,,,,,,,,
51,1,1,SIMM FX,10038,,,10068,1,IBMF,SN2733,269,269,895,895,,
50,1,1,SUN FX,10039,1,10039,,,,,,,,,,
51,1,1,SUN FX,10039,,,10136,1,SMF,SN6038,363,363,938,938,,
50,1,1,SIMM FX,10040,2,10040,,,,,,,,,,
51,1,1,SIMM FX,10040,,,10147,1,IBMF,SN5943,378,378,708,708,,
51,1,1,SIMM FX,10040,,,10068,2,SN2733,IBMF,895,908,1208,1208,,
50,1,1,SIMM FX,10041,1,10041,,,,,,,,,,
51,1,1,SIMM FX,10041,,,10104,1,SN6220,IBMF,431,443,1089,1089,,
50,1,1,SUN FX,10042,1,10042,,,,,,,,,,
51,1,1,SUN FX,10042,,,10032,1,SN6038,SMF,484,495,1159,1159,,
50,1,1,SUN FX,10043,2,10043,,,,,,,,,,
51,1,1,SUN FX,10043,,,10008,1,SN6038,SN6038,732,744,878,878,,
51,1,1,SUN FX,10043,,,10136,2,SN6038,SMF,938,954,1329,1329,,
50,1,1,SUN FX,10044,1,10044,,,,,,,,,,
51,1,1,SUN FX,10044,,,10008,1,SN6038,SMF,878,894,1445,1445,,
50,1,1,SIMM FX,10045,1,10045,,,,,,,,,,
51,1,1,SIMM FX,10045,,,10010,1,IBMF,SN5474,90,90,714,714,,
50,1,1,SUN FX,10046,2,10046,,,,,,,,,,
51,1,1,SUN FX,10046,,,10095,1,SMF,SN6214,295,295,698,698,,
51,1,1,SUN FX,10046,,,10077,2,SN2245,SMF,916,918,1117,1117,,
50,1,1,SIMM FX,10047,1,10047,,,,,,,,,,
51,1,1,SIMM FX,10047,,,10100,1,IBMF,SN6226,306,306,819,819,,
50,1,1,SIMM FX,10048,2,10048,,,,,,,,,,
51,1,1,SIMM FX,10048,,,10173,1,SN20016,SN6776,760,760,1009,1009,,
51,1,1,SIMM FX,10048,,,10100,2,SN6776,IBMF,1039,1041,1419,1419,,
50,1,1,SIMM FX,10049,2,10049,,,,,,,,,,
51,1,1,SIMM FX,10049,,,10100,1,SN6226,SN6776,819,821,1039,1039,,
51,1,1,SIMM FX,10049,,,10163,2,SN6776,IBMF,1099,1101,1495,1495,,
50,1,1,SIMM FX,10050,1,10050,,,,,,,,,,
51,1,1,SIMM FX,10050,,,10042,1,SN6206,IBMF,941,945,1555,1555,,
50,1,1,SIMM FX,10051,1,10051,,,,,,,,,,
51,1,1,SIMM FX,10051,,,10083,1,IBMF,SN20015,288,288,846,846,,
50,1,1,SIMM FX,10052,2,10052,,,,,,,,,,
51,1,1,SIMM FX,10052,,,10143,1,IBMF,SN6158,375,375,676,676,,
51,1,1,SIMM FX,10052,,,10072,2,SN5441,IBMF,825,836,1066,1066,,
50,1,1,SIMM FX,10053,1,10053,,,,,,,,,,
51,1,1,SIMM FX,10053,,,10063,1,SN20016,SN6222,528,528,1056,1056,,
50,1,1,SIMM FX,10054,2,10054,,,,,,,,,,
51,1,1,SIMM FX,10054,,,10175,1,IBMF,SN6228,545,545,939,939,,
51,1,1,SIMM FX,10054,,,10069,2,SN6228,IBMF,969,970,1216,1216,,
50,1,1,SUN FX,10055,2,10055,,,,,,,,,,
51,1,1,SUN FX,10055,,,10031,1,SN6039,SN1358,743,748,953,953,,
51,1,1,SUN FX,10055,,,10019,2,SN1358,SMF,973,973,1398,1398,,
50,1,1,SUN FX,10056,1,10056,,,,,,,,,,
51,1,1,SUN FX,10056,,,10021,1,SMF,SN20016,147,147,788,788,,
50,1,1,SIMM FX,10057,1,10057,,,,,,,,,,
51,1,1,SIMM FX,10057,,,10010,1,SN5474,IBMF,714,723,1372,1372,,
50,1,1,SUN FX,10058,1,10058,,,,,,,,,,
51,1,1,SUN FX,10058,,,10015,1,SN6222,SMF,876,878,1419,1419,,
50,1,1,SIMM FX,10059,1,10059,,,,,,,,,,
51,1,1,SIMM FX,10059,,,10125,1,SN6221,IBMF,1002,1005,1641,1641,,
50,1,1,SUN FX,10060,1,10060,,,,,,,,,,
51,1,1,SUN FX,10060,,,10051,1,SN6220,SMF,1092,1094,1656,1656,,
